Department,Monthly Income,Business Travel,Over Time,Job Satisfaction,Work Life Balance,Years At Company,Attrition
Human Resources,5377.140235,Travel_Frequently,No,3,4,13,No
Research & Development,5202.714965,Travel_Frequently,No,1,3,8,No
Research & Development,5268.532446,Travel_Frequently,Yes,2,4,9,Yes
Sales,4296.159444,Travel_Rarely,No,3,2,10,Yes
Research & Development,5353.04532,Travel_Rarely,No,4,1,11,No
Research & Development,4688.958039,Travel_Frequently,Yes,1,4,9,Yes
Sales,4830.642178,Non-Travel,No,1,3,10,No
Sales,4483.089596,Non-Travel,Yes,2,4,6,Yes
Research & Development,4461.407839,Non-Travel,Yes,2,4,13,Yes
Human Resources,4413.387355,Travel_Frequently,No,4,3,9,No
Research & Development,4542.36776,Travel_Rarely,Yes,3,3,10,Yes
Sales,5638.607477,Travel_Frequently,No,3,3,8,No
Sales,4615.990257,Non-Travel,No,1,3,9,Yes
Sales,4635.11154,Travel_Rarely,Yes,3,1,10,Yes
Human Resources,5424.700199,Travel_Frequently,No,1,4,10,No
Sales,4764.205338,Travel_Frequently,No,1,4,9,No
Human Resources,3959.760833,Travel_Rarely,Yes,2,2,12,Yes
Research & Development,4676.221834,Travel_Frequently,No,3,3,6,Yes
Human Resources,4782.42688,Non-Travel,No,4,2,10,No
Research & Development,5500.42145,Non-Travel,No,2,1,6,No
Research & Development,4366.297555,Travel_Rarely,No,1,3,10,Yes
Research & Development,5289.495356,Non-Travel,No,2,4,9,No
Sales,5227.137908,Non-Travel,No,3,4,11,No
Research & Development,4892.425821,Non-Travel,No,2,3,7,No
Research & Development,5044.688684,Non-Travel,Yes,3,4,12,No
Sales,4512.869562,Travel_Frequently,No,2,3,9,Yes
Sales,5338.642288,Travel_Frequently,Yes,3,3,11,No
Sales,5164.810005,Non-Travel,Yes,3,3,10,No
Sales,5521.841739,Non-Travel,No,3,1,11,No
Human Resources,4960.81016,Travel_Frequently,Yes,3,3,10,Yes
Research & Development,4269.048694,Travel_Frequently,No,1,4,7,Yes
Human Resources,5272.214992,Travel_Rarely,Yes,4,1,10,No
Human Resources,5571.40318,Travel_Frequently,Yes,2,4,11,Yes
Human Resources,5513.706799,Travel_Frequently,No,4,2,10,No
Human Resources,4927.060883,Travel_Rarely,No,2,4,13,No
Sales,6158.339911,Travel_Frequently,No,2,2,4,No
Sales,4971.430286,Non-Travel,No,1,1,10,No
Research & Development,4833.72164,Travel_Rarely,No,3,1,11,No
Research & Development,4327.81055,Travel_Rarely,No,4,3,12,No
Human Resources,4814.052717,Travel_Frequently,No,1,4,5,Yes
Human Resources,5341.577693,Non-Travel,No,2,2,7,No
Research & Development,5214.294183,Travel_Frequently,No,4,3,6,No
Sales,5705.608533,Travel_Rarely,Yes,2,2,9,Yes
Research & Development,5173.391877,Travel_Frequently,No,3,3,8,No
Sales,5166.109942,Travel_Rarely,Yes,1,2,14,Yes
Research & Development,5133.50088,Non-Travel,No,3,4,10,No
Research & Development,5387.609416,Travel_Rarely,Yes,1,4,14,No
Human Resources,5261.701124,Travel_Rarely,No,2,3,13,No
Research & Development,5095.053294,Non-Travel,Yes,2,3,10,No
Human Resources,4171.296305,Travel_Frequently,No,3,3,10,No
Research & Development,4899.497577,Non-Travel,No,3,3,13,No
Sales,4759.206901,Travel_Rarely,No,2,1,9,No
Research & Development,5114.356312,Non-Travel,Yes,2,2,13,Yes
Sales,5701.115981,Travel_Frequently,Yes,3,2,11,No
Sales,4683.853476,Non-Travel,Yes,2,3,11,Yes
Research & Development,6524.93256,Travel_Frequently,No,2,3,10,No
Human Resources,5458.510874,Non-Travel,Yes,1,2,7,Yes
Research & Development,4889.681032,Travel_Rarely,No,1,2,11,No
Human Resources,4864.800743,Travel_Rarely,Yes,2,4,12,No
Sales,4975.546378,Travel_Rarely,No,4,2,8,No
Research & Development,4813.297927,Non-Travel,Yes,3,4,9,No
Research & Development,4981.876536,Non-Travel,Yes,4,1,10,No
Research & Development,4852.426679,Travel_Rarely,Yes,3,4,12,No
Sales,3851.885077,Non-Travel,No,4,3,11,No
Human Resources,5236.866279,Non-Travel,Yes,1,2,9,No
Research & Development,5168.312731,Travel_Frequently,No,3,2,9,No
Research & Development,5038.618932,Travel_Frequently,No,3,4,9,No
Sales,4654.223305,Non-Travel,Yes,3,4,11,No
Sales,5062.535216,Travel_Frequently,Yes,3,1,13,Yes
Human Resources,5228.474097,Non-Travel,No,1,4,12,No
Human Resources,4792.306458,Travel_Frequently,No,2,3,12,No
Research & Development,5245.737697,Travel_Rarely,Yes,1,1,7,Yes
Human Resources,4521.576612,Travel_Frequently,Yes,2,3,13,Yes
Human Resources,4676.934548,Travel_Rarely,No,3,1,7,Yes
Sales,5118.530966,Travel_Rarely,No,1,3,11,No
Research & Development,5502.908583,Non-Travel,No,1,2,11,No
Human Resources,5157.819351,Travel_Rarely,No,3,4,9,No
Research & Development,5153.233652,Travel_Rarely,No,2,2,9,No
Sales,5799.524574,Travel_Rarely,No,1,4,10,No
Sales,4611.700801,Travel_Frequently,Yes,3,1,10,Yes
Sales,5441.844315,Non-Travel,Yes,4,4,12,No
Sales,5764.993264,Non-Travel,No,2,3,10,No
Sales,5407.039876,Non-Travel,No,1,1,7,No
Sales,4523.073892,Non-Travel,Yes,3,4,10,No
Research & Development,4138.918946,Travel_Frequently,Yes,4,2,8,Yes
Human Resources,5382.812406,Non-Travel,No,1,4,9,No
Sales,4156.814562,Travel_Frequently,No,2,3,9,Yes
Human Resources,4640.892481,Non-Travel,Yes,2,1,9,Yes
Sales,4127.730014,Non-Travel,No,2,4,9,No
Sales,4944.414904,Travel_Frequently,Yes,4,3,13,No
Research & Development,4592.356412,Travel_Rarely,Yes,3,4,11,Yes
Human Resources,4752.957632,Non-Travel,No,1,2,11,No
Research & Development,6069.942518,Non-Travel,No,4,1,10,No
Human Resources,5605.67942,Travel_Rarely,No,4,2,14,No
Sales,4691.965901,Travel_Rarely,Yes,1,1,9,Yes
Sales,4844.908333,Travel_Frequently,Yes,2,3,8,Yes
Human Resources,4753.83467,Travel_Rarely,No,3,2,7,Yes
Research & Development,5553.004397,Travel_Frequently,Yes,1,2,11,Yes
Research & Development,4977.07275,Travel_Rarely,Yes,1,4,12,Yes
Sales,4266.883783,Non-Travel,Yes,2,2,11,Yes
Research & Development,5223.950615,Travel_Rarely,No,2,4,9,No
Research & Development,5388.031669,Travel_Rarely,Yes,3,2,7,Yes
Human Resources,5514.533132,Non-Travel,No,3,2,10,No
Sales,4985.494274,Non-Travel,Yes,1,2,11,Yes
Sales,4289.633982,Travel_Frequently,No,1,3,8,Yes
Human Resources,3787.764307,Travel_Rarely,Yes,4,1,9,Yes
Research & Development,4930.134409,Travel_Rarely,Yes,2,2,10,Yes
Research & Development,4810.384991,Non-Travel,Yes,2,3,6,Yes
Research & Development,5536.688048,Travel_Frequently,No,2,4,9,No
Human Resources,5345.860797,Travel_Rarely,No,4,4,14,No
Sales,5533.576232,Non-Travel,Yes,4,2,6,No
Sales,4941.7902,Travel_Frequently,Yes,3,4,12,No
Sales,4429.823131,Non-Travel,No,4,2,12,No
Human Resources,4563.441058,Travel_Rarely,No,3,1,9,Yes
Human Resources,5023.720263,Travel_Frequently,No,3,1,11,No
Research & Development,4331.931311,Non-Travel,No,4,3,12,No
Human Resources,4606.921519,Non-Travel,No,4,3,13,No
Human Resources,4358.683807,Travel_Frequently,No,2,4,11,Yes
Sales,4815.258544,Travel_Rarely,No,1,2,13,Yes
Research & Development,4939.399479,Non-Travel,No,2,4,11,No
Human Resources,5485.119906,Travel_Rarely,No,4,1,9,No
Research & Development,4840.347872,Travel_Rarely,No,4,4,11,No
Sales,4882.52826,Non-Travel,No,2,4,13,No
Sales,5200.869017,Travel_Frequently,No,3,2,8,Yes
Sales,4488.238447,Travel_Frequently,No,3,4,8,Yes
Sales,4652.536257,Travel_Rarely,No,1,3,10,Yes
Human Resources,5116.236349,Non-Travel,No,2,1,12,No
Human Resources,5320.900992,Travel_Rarely,No,3,3,8,No
Research & Development,5016.131713,Non-Travel,No,3,2,9,No
Human Resources,5002.216454,Travel_Frequently,Yes,3,3,9,Yes
Human Resources,5173.744054,Travel_Frequently,Yes,4,1,12,Yes
Human Resources,5159.842518,Non-Travel,Yes,4,4,11,No
Human Resources,5696.910973,Travel_Rarely,Yes,4,2,9,No
Human Resources,5019.051932,Non-Travel,No,4,4,9,No
Research & Development,5044.501815,Travel_Frequently,Yes,4,3,9,Yes
Sales,5896.918051,Non-Travel,Yes,1,2,10,No
Research & Development,4997.654611,Non-Travel,No,2,2,8,No
Sales,4960.909219,Non-Travel,Yes,1,1,8,Yes
Sales,4657.408437,Travel_Frequently,No,3,4,11,No
Sales,5034.521014,Travel_Rarely,No,4,2,7,Yes
Research & Development,5044.016258,Non-Travel,Yes,4,1,9,Yes
Sales,5059.274843,Travel_Rarely,No,1,1,10,Yes
Research & Development,3984.189913,Travel_Frequently,Yes,1,1,11,Yes
Research & Development,4227.251833,Travel_Frequently,Yes,3,1,11,Yes
Human Resources,4381.597251,Non-Travel,Yes,4,3,11,No
Sales,5135.94319,Non-Travel,Yes,3,1,13,Yes
Research & Development,5615.352968,Travel_Frequently,Yes,2,4,12,Yes
Sales,3759.807552,Travel_Frequently,Yes,3,3,11,Yes
Research & Development,4585.692081,Travel_Frequently,No,2,2,11,Yes
Human Resources,4654.398922,Non-Travel,Yes,4,3,10,Yes
Human Resources,4431.323295,Travel_Frequently,No,4,3,10,No
Sales,5178.976008,Non-Travel,Yes,2,4,9,No
Research & Development,4459.85731,Non-Travel,No,3,2,8,No
Research & Development,4822.026472,Travel_Frequently,Yes,2,2,9,Yes
Human Resources,4686.090263,Travel_Rarely,No,3,2,16,No
Research & Development,5121.161984,Non-Travel,No,3,1,9,No
Human Resources,4970.929776,Travel_Frequently,No,2,4,10,No
Research & Development,5526.266973,Non-Travel,Yes,2,1,10,No
Research & Development,3624.234628,Travel_Rarely,Yes,2,1,11,Yes
Research & Development,4452.389227,Travel_Rarely,Yes,1,4,9,Yes
Research & Development,4348.350077,Travel_Rarely,Yes,2,2,11,Yes
Sales,5067.24747,Travel_Frequently,No,3,3,9,No
Human Resources,4509.042719,Travel_Rarely,No,2,3,14,No
Sales,4492.607633,Travel_Frequently,No,4,1,10,No
Research & Development,5939.643262,Travel_Rarely,No,1,2,10,No
Sales,4967.619384,Travel_Rarely,Yes,4,1,8,Yes
Sales,4850.311459,Travel_Rarely,Yes,4,3,10,No
Research & Development,4526.717666,Non-Travel,No,3,2,10,Yes
Human Resources,4689.371532,Non-Travel,No,2,1,8,No
Human Resources,4985.497251,Travel_Rarely,No,4,1,11,No
Sales,5094.427286,Travel_Frequently,No,1,1,11,Yes
Human Resources,4050.215479,Non-Travel,No,3,2,11,Yes
Research & Development,4808.816889,Non-Travel,No,4,3,11,No
Research & Development,4285.147996,Non-Travel,No,1,2,11,Yes
Sales,4496.134441,Travel_Frequently,No,4,3,7,Yes
Human Resources,4990.562061,Non-Travel,No,1,3,9,No
Human Resources,5022.713582,Travel_Frequently,Yes,4,3,11,No
Sales,4499.05837,Travel_Rarely,Yes,3,1,11,Yes
Human Resources,4410.067632,Non-Travel,Yes,1,2,8,Yes
Human Resources,5076.062798,Non-Travel,Yes,3,2,9,No
Human Resources,4274.485006,Travel_Rarely,Yes,3,4,9,Yes
Research & Development,5433.361042,Non-Travel,Yes,2,3,10,No
Sales,5391.052981,Non-Travel,No,4,3,10,No
Sales,4636.142703,Non-Travel,No,2,2,9,No
Human Resources,4388.305859,Travel_Rarely,Yes,1,4,8,Yes
Human Resources,5791.566234,Travel_Frequently,No,2,3,10,No
Sales,4698.804098,Travel_Frequently,No,1,4,12,No
Research & Development,5272.658768,Travel_Rarely,No,4,2,9,No
Research & Development,4831.502402,Non-Travel,No,2,3,9,No
Sales,4428.511169,Non-Travel,Yes,2,3,11,Yes
Sales,4856.297878,Travel_Frequently,Yes,1,4,11,Yes
Sales,4993.475946,Travel_Frequently,No,3,3,10,No
Research & Development,4553.660477,Travel_Frequently,Yes,1,4,9,Yes
Human Resources,4604.497465,Non-Travel,Yes,2,3,13,Yes
Sales,5589.495792,Travel_Rarely,Yes,4,3,11,No
Human Resources,5716.464778,Non-Travel,Yes,1,3,10,No
Human Resources,5261.39053,Non-Travel,No,3,4,13,No
Research & Development,4901.789453,Travel_Frequently,No,3,3,13,No
Research & Development,5300.232388,Non-Travel,Yes,1,2,11,No
Sales,4498.95376,Travel_Rarely,No,2,4,7,Yes
Human Resources,5062.688891,Non-Travel,Yes,3,1,5,Yes
Research & Development,6005.819994,Travel_Rarely,Yes,1,1,11,No
Research & Development,4306.10617,Travel_Frequently,No,1,4,13,Yes
Research & Development,5082.952679,Travel_Rarely,Yes,1,4,10,No
Research & Development,5270.166053,Travel_Rarely,No,4,1,11,No
Research & Development,4076.707185,Non-Travel,No,3,1,11,Yes
Human Resources,5120.107443,Non-Travel,Yes,4,2,10,No
Human Resources,5138.333685,Travel_Frequently,No,4,4,9,No
Sales,5904.845007,Travel_Rarely,No,3,1,13,No
Sales,4066.550651,Non-Travel,No,3,3,10,No
Research & Development,5013.233725,Non-Travel,Yes,4,1,10,No
Research & Development,5652.967863,Travel_Rarely,No,1,3,11,No
Sales,4541.545025,Travel_Frequently,Yes,2,4,8,Yes
Research & Development,4933.346807,Travel_Frequently,No,1,3,10,Yes
Research & Development,4885.455397,Travel_Frequently,Yes,1,2,10,Yes
Sales,5620.783476,Non-Travel,Yes,4,3,11,No
Research & Development,5121.459988,Travel_Rarely,No,1,4,11,No
Sales,5040.945116,Travel_Rarely,No,1,2,7,Yes
Sales,4741.303152,Non-Travel,No,3,4,8,No
Research & Development,5151.983414,Travel_Frequently,No,3,2,8,Yes
Sales,4895.789044,Travel_Frequently,Yes,4,4,9,Yes
Human Resources,5505.863047,Non-Travel,No,1,4,11,No
Sales,5378.832951,Travel_Rarely,Yes,2,2,10,No
Human Resources,4648.079394,Travel_Frequently,Yes,1,4,9,Yes
Sales,5448.306395,Non-Travel,Yes,3,2,13,No
Human Resources,5383.281185,Travel_Rarely,Yes,1,3,12,Yes
Sales,3594.101643,Travel_Frequently,No,3,3,9,Yes
Research & Development,5000.367132,Travel_Frequently,Yes,1,4,9,Yes
Human Resources,6030.074217,Non-Travel,Yes,2,4,8,No
Sales,4955.590473,Non-Travel,No,1,4,11,No
Research & Development,4177.300061,Travel_Frequently,No,2,1,9,Yes
Human Resources,4632.081891,Travel_Frequently,No,1,1,11,Yes
Research & Development,4546.712536,Non-Travel,Yes,2,2,9,Yes
Sales,4318.432826,Travel_Rarely,No,4,4,11,No
Human Resources,5013.449074,Non-Travel,No,1,2,8,No
Research & Development,5219.985758,Travel_Rarely,No,3,4,10,No
Research & Development,4527.75187,Travel_Rarely,Yes,2,4,10,Yes
Research & Development,5000.25329,Travel_Frequently,Yes,3,2,12,Yes
Research & Development,5322.223831,Non-Travel,Yes,3,2,10,No
Research & Development,5021.66441,Non-Travel,Yes,4,1,10,No
Human Resources,4813.932083,Non-Travel,Yes,2,4,12,No
Sales,4478.43125,Travel_Frequently,No,2,1,8,Yes
Research & Development,4265.674305,Travel_Frequently,Yes,2,3,12,Yes
Human Resources,3981.743715,Travel_Frequently,No,1,4,5,Yes
Human Resources,5406.731611,Non-Travel,No,2,2,10,No
Research & Development,5149.121792,Travel_Frequently,No,4,3,10,No
Human Resources,4866.512752,Travel_Frequently,No,3,4,9,No
Human Resources,4770.225942,Travel_Frequently,Yes,2,3,8,Yes
Sales,4424.718352,Travel_Frequently,No,1,3,12,No
Research & Development,4727.838915,Travel_Frequently,No,2,3,9,No
Sales,4850.953523,Non-Travel,No,1,4,8,No
Research & Development,5220.574402,Non-Travel,No,3,4,10,No
Sales,4277.289232,Travel_Frequently,No,1,4,11,Yes
Sales,4180.763644,Non-Travel,No,2,1,11,Yes
Sales,5362.442826,Travel_Rarely,No,2,3,10,No
Sales,4778.780363,Travel_Rarely,No,2,3,11,No
Sales,5596.051471,Travel_Rarely,No,3,2,8,No
Sales,5301.131174,Non-Travel,Yes,1,1,12,Yes
Research & Development,4362.494363,Travel_Rarely,No,2,3,9,No
Research & Development,5037.679038,Non-Travel,No,3,2,9,No
Sales,5480.930204,Travel_Frequently,No,3,4,9,No
Human Resources,4230.50361,Travel_Frequently,No,4,2,6,No
Research & Development,4488.43634,Travel_Rarely,Yes,4,2,12,Yes
Research & Development,5125.285159,Non-Travel,No,2,1,9,No
Sales,4821.634181,Non-Travel,No,2,1,12,No
Sales,4386.66996,Non-Travel,Yes,3,1,14,Yes
Sales,5091.911517,Travel_Rarely,Yes,3,3,13,No
Human Resources,4796.449584,Travel_Frequently,No,3,3,8,Yes
Research & Development,5692.271759,Travel_Rarely,No,4,1,11,No
Human Resources,5052.596249,Travel_Frequently,No,4,2,12,No
Sales,4752.36472,Non-Travel,No,3,3,9,No
Sales,4874.210265,Travel_Rarely,No,4,1,9,No
Sales,4423.621984,Travel_Rarely,No,4,4,10,No
Human Resources,5645.732632,Travel_Frequently,No,2,3,10,No
Research & Development,4779.635351,Travel_Frequently,Yes,1,2,9,Yes
Sales,5056.643119,Travel_Frequently,No,2,3,9,Yes
Human Resources,5128.404585,Travel_Rarely,No,3,1,11,No
Human Resources,5417.605885,Travel_Frequently,No,1,2,12,No
Human Resources,4732.788927,Travel_Rarely,Yes,4,3,8,Yes
Human Resources,5817.578081,Non-Travel,No,4,1,9,No
Research & Development,4878.871984,Non-Travel,No,4,4,8,No
Human Resources,5532.878237,Non-Travel,No,2,2,10,No
Sales,5011.344863,Travel_Rarely,No,1,4,8,No
Sales,5211.363822,Non-Travel,Yes,3,1,13,No
Human Resources,4643.516927,Travel_Frequently,No,3,4,10,No
Human Resources,4343.37857,Travel_Frequently,Yes,2,4,6,Yes
Human Resources,4215.400186,Non-Travel,No,1,4,8,No
Sales,4841.429956,Travel_Frequently,Yes,1,3,10,Yes
Research & Development,4044.07086,Travel_Frequently,Yes,2,4,14,Yes
Sales,4517.899417,Travel_Rarely,No,1,1,8,Yes
Human Resources,5008.721603,Travel_Rarely,Yes,1,1,8,Yes
Human Resources,5180.084428,Travel_Rarely,No,2,3,11,No
Human Resources,4342.012538,Travel_Frequently,Yes,3,1,11,Yes
Sales,5304.975743,Travel_Frequently,No,1,1,9,Yes
Sales,4553.02121,Travel_Rarely,No,3,3,14,No
Research & Development,4891.635497,Travel_Frequently,Yes,1,1,9,Yes
Research & Development,5327.790748,Travel_Rarely,Yes,2,2,10,No
Research & Development,5118.233863,Travel_Rarely,Yes,2,1,8,Yes
Human Resources,5126.607242,Non-Travel,Yes,4,4,9,No
Human Resources,6168.665976,Travel_Frequently,No,4,4,10,No
Sales,5639.102656,Non-Travel,No,1,3,8,No
Human Resources,5027.601284,Travel_Frequently,No,4,4,12,No
Sales,5397.66013,Non-Travel,No,3,4,11,No
Sales,4347.315027,Travel_Frequently,Yes,4,2,11,Yes
Sales,5262.148429,Non-Travel,Yes,4,4,8,No
Research & Development,5511.138084,Travel_Frequently,No,2,4,13,No
Sales,4503.414804,Travel_Rarely,Yes,1,1,8,Yes
Research & Development,5215.394999,Non-Travel,Yes,1,3,7,No
Human Resources,4835.277168,Travel_Rarely,No,1,2,8,Yes
Human Resources,5205.082117,Travel_Frequently,No,3,1,8,No
Research & Development,5258.48772,Travel_Rarely,No,3,3,11,No
Research & Development,5199.4857,Travel_Rarely,No,2,1,10,Yes
Sales,4920.465,Non-Travel,Yes,1,1,9,Yes
Human Resources,4127.19094,Travel_Rarely,Yes,4,2,9,Yes
Research & Development,4239.004779,Travel_Rarely,No,4,2,12,No
Research & Development,5218.440922,Non-Travel,No,2,3,6,No
Research & Development,4310.890955,Travel_Frequently,Yes,3,3,10,Yes
Research & Development,3474.195069,Non-Travel,No,3,1,8,Yes
Research & Development,4660.721077,Travel_Rarely,Yes,2,1,11,Yes
Research & Development,3884.536934,Non-Travel,No,4,2,7,No
Sales,5707.870476,Non-Travel,No,1,1,10,No
Human Resources,5303.758089,Non-Travel,Yes,3,3,7,No
Research & Development,5479.699939,Travel_Rarely,No,2,2,13,No
Human Resources,5429.028156,Travel_Frequently,No,2,2,11,No
Human Resources,4693.716201,Travel_Rarely,No,1,3,11,No
Research & Development,5047.427102,Travel_Frequently,No,3,2,8,No
Human Resources,3855.724693,Travel_Frequently,No,1,4,8,Yes
Sales,5998.620279,Non-Travel,No,4,1,12,No
Human Resources,4377.972061,Travel_Rarely,No,4,2,11,No
Research & Development,5156.653207,Non-Travel,Yes,4,3,13,No
Sales,5173.9062,Non-Travel,Yes,3,2,11,Yes
Human Resources,4820.163224,Travel_Frequently,No,4,4,8,No
Research & Development,5059.741777,Travel_Rarely,Yes,2,3,11,No
Human Resources,5408.327771,Travel_Frequently,No,2,2,12,No
Sales,5044.334902,Travel_Frequently,No,2,3,12,No
Human Resources,5360.925398,Travel_Frequently,No,4,2,13,No
Research & Development,5147.410189,Non-Travel,No,3,1,10,No
Human Resources,5297.941863,Travel_Frequently,Yes,2,3,13,Yes
Sales,3804.721206,Travel_Frequently,Yes,2,1,10,Yes
Research & Development,4607.570608,Travel_Rarely,Yes,2,3,7,Yes
Sales,5035.864886,Non-Travel,No,2,1,7,No
Sales,5477.041109,Non-Travel,Yes,1,1,13,No
Sales,4491.894874,Non-Travel,No,1,4,8,No
Research & Development,5303.991866,Travel_Frequently,Yes,3,3,8,Yes
Sales,4460.599498,Travel_Frequently,Yes,1,3,9,Yes
Sales,4914.234032,Travel_Rarely,Yes,4,3,10,No
Research & Development,5018.426036,Travel_Frequently,Yes,3,1,10,Yes
Sales,4409.193834,Travel_Rarely,No,4,4,12,No
Human Resources,6318.563092,Travel_Rarely,No,2,2,12,No
Sales,6064.193981,Non-Travel,No,2,4,12,No
Human Resources,4897.5962,Travel_Rarely,Yes,4,3,9,No
Human Resources,4495.677233,Travel_Rarely,No,1,2,13,Yes
Research & Development,5149.949731,Travel_Frequently,No,3,4,14,No
Sales,5680.335221,Travel_Rarely,Yes,1,3,11,No
Sales,5018.347976,Travel_Rarely,Yes,3,2,10,Yes
Sales,4878.310083,Travel_Frequently,Yes,2,1,10,Yes
Human Resources,4512.522875,Travel_Frequently,No,1,2,12,Yes
Sales,5316.078354,Non-Travel,Yes,4,3,11,No
Human Resources,5971.530386,Travel_Frequently,No,1,3,9,No
Human Resources,4541.167136,Non-Travel,No,1,4,9,No
Research & Development,4479.260509,Travel_Frequently,No,1,3,12,No
Research & Development,5881.628722,Travel_Rarely,Yes,1,3,9,No
Research & Development,5128.683572,Non-Travel,No,1,4,8,No
Human Resources,4164.406539,Travel_Rarely,No,3,1,8,Yes
Sales,4354.207251,Travel_Frequently,No,1,3,6,Yes
Research & Development,4888.672634,Travel_Frequently,Yes,2,1,10,Yes
Research & Development,4466.642093,Travel_Rarely,No,4,3,11,No
Human Resources,5163.421123,Travel_Frequently,No,2,4,9,No
Research & Development,4576.150792,Travel_Rarely,Yes,4,3,9,Yes
Human Resources,3627.597642,Travel_Frequently,Yes,3,2,9,Yes
Sales,5526.53214,Non-Travel,No,3,2,12,No
Sales,5068.628912,Travel_Rarely,Yes,2,2,10,Yes
Human Resources,5451.56045,Travel_Rarely,No,3,1,9,Yes
Sales,5459.2335,Travel_Rarely,No,3,1,6,No
Research & Development,5281.21996,Non-Travel,No,1,1,14,No
Human Resources,4721.552511,Travel_Frequently,No,2,2,12,Yes
Human Resources,5363.744967,Travel_Frequently,No,4,2,10,No
Sales,4598.240065,Travel_Rarely,No,1,2,15,No
Research & Development,5359.439893,Non-Travel,No,4,1,9,No
Human Resources,4885.237568,Travel_Frequently,Yes,4,3,7,Yes
Sales,5027.693615,Non-Travel,No,2,3,9,No
Research & Development,5100.799198,Non-Travel,No,3,1,10,No
Research & Development,4968.843759,Travel_Frequently,No,1,4,10,Yes
Human Resources,4170.593897,Travel_Frequently,No,1,3,7,Yes
Research & Development,5381.554358,Non-Travel,No,4,2,10,No
Sales,5663.996946,Travel_Rarely,No,4,2,10,No
Research & Development,4369.503064,Travel_Rarely,Yes,2,3,11,Yes
Human Resources,3665.975005,Non-Travel,Yes,1,3,8,Yes
Sales,5314.185358,Non-Travel,No,1,3,8,No
Sales,3803.214991,Non-Travel,Yes,3,2,10,Yes
Sales,5269.21702,Travel_Rarely,Yes,1,2,10,Yes
Research & Development,4461.055039,Travel_Frequently,No,4,3,11,No
Sales,4593.424445,Travel_Frequently,No,1,4,12,Yes
Research & Development,4268.03736,Travel_Frequently,Yes,3,4,9,Yes
Human Resources,4602.952169,Travel_Rarely,Yes,1,4,11,Yes
Sales,4474.332429,Non-Travel,No,2,4,10,No
Sales,5383.339324,Travel_Rarely,Yes,3,3,12,No
Human Resources,4190.419177,Travel_Frequently,No,2,4,12,No
Sales,5224.607897,Travel_Rarely,No,1,2,6,Yes
Research & Development,4694.525376,Non-Travel,No,4,2,7,No
Research & Development,4536.4135,Travel_Rarely,No,1,1,9,Yes
Sales,4532.775947,Travel_Frequently,Yes,2,4,10,Yes
Sales,5007.819427,Travel_Frequently,No,1,1,11,Yes
Sales,5384.147196,Travel_Rarely,Yes,2,3,12,No
Human Resources,6041.377195,Travel_Frequently,No,3,1,9,No
Human Resources,3925.955748,Non-Travel,Yes,2,2,10,Yes
Sales,5135.648367,Travel_Frequently,No,4,1,9,No
Human Resources,5194.888588,Non-Travel,Yes,2,4,10,No
Sales,4993.908706,Non-Travel,No,3,1,12,No
Research & Development,4341.310156,Travel_Frequently,Yes,2,1,13,Yes
Human Resources,4635.508753,Non-Travel,Yes,1,1,11,Yes
Sales,4300.109611,Travel_Frequently,No,4,4,13,No
Human Resources,4460.013641,Travel_Frequently,Yes,4,3,10,Yes
Research & Development,4354.51951,Non-Travel,No,3,1,10,No
Sales,5351.558831,Travel_Rarely,Yes,1,3,12,Yes
Human Resources,4609.824037,Non-Travel,Yes,4,1,11,No
Sales,4522.499597,Non-Travel,No,4,2,10,No
Research & Development,5073.564626,Non-Travel,No,1,1,14,No
Sales,5658.174619,Travel_Rarely,Yes,1,2,10,Yes
Research & Development,4073.660161,Travel_Rarely,Yes,1,1,11,Yes
Human Resources,4933.419973,Non-Travel,No,1,2,8,Yes
Sales,4452.508564,Travel_Rarely,No,1,2,7,Yes
Sales,4984.239906,Non-Travel,Yes,4,2,10,No
Human Resources,4233.18356,Travel_Frequently,Yes,3,2,8,Yes
Sales,5743.013039,Travel_Frequently,Yes,4,4,9,No
Human Resources,4445.01406,Non-Travel,No,1,2,11,No
Sales,5535.580887,Travel_Rarely,No,4,3,7,No
Human Resources,3837.250849,Non-Travel,Yes,3,3,12,No
Research & Development,4346.633805,Travel_Frequently,No,4,4,7,No
Sales,4676.256437,Non-Travel,Yes,4,4,8,No
Human Resources,4308.744301,Travel_Rarely,No,4,2,10,Yes
Human Resources,4170.740621,Travel_Rarely,No,2,1,11,Yes
Human Resources,5093.162497,Travel_Rarely,No,1,3,16,No
Human Resources,4952.311221,Travel_Frequently,Yes,3,1,14,Yes
Sales,4827.842466,Non-Travel,Yes,1,3,8,Yes
Sales,5033.006043,Non-Travel,No,2,1,10,No
Human Resources,4815.563358,Travel_Rarely,Yes,1,1,14,Yes
Sales,5757.067237,Non-Travel,Yes,1,2,9,No
Research & Development,5341.653923,Non-Travel,No,3,2,5,No
Human Resources,4407.601061,Non-Travel,No,1,3,15,No
Human Resources,4544.776704,Travel_Rarely,Yes,4,2,10,Yes
Sales,4881.264357,Travel_Frequently,No,2,3,10,No
Human Resources,4481.08413,Travel_Rarely,No,2,3,9,Yes
Sales,4906.316962,Travel_Rarely,Yes,2,2,9,Yes
Sales,5426.823781,Non-Travel,Yes,3,3,10,No
Sales,4956.971676,Travel_Rarely,Yes,3,1,12,Yes
